qc.sample_name	Gender	facepheno.Age	Xc	Yc
187523008_S1	Female	38	2.015648163	0.00329435
187523009_S1	Female	20	2.005256674	0.003613963
187523010_S1	Female	46	1.983839109	0.004309571
187523011_S1	Male	20	0.998389435	1.002415848
187523012_S1	Male	22	1.012486228	1.009548292
187523013_S1	Male	19	1.000166694	1.005167528
187523014_S1	Female	44	1.987868678	0.004397604
187523015_S1	Male	18	1.007505199	1.006239262
187523016_S1	Female	24	2.008841573	0.003608805
187523017_S1	Female	49	1.997626113	0.003899958
187523018_S1	Female	42	1.997903198	0.003145204
187523019_S1	Female	22	1.993340494	0.004296455
187523020_S1	Male	53	0.996396396	0.992612613
187523021_S1	Male	18	1.003324784	1.004274722
187523022_S1	Female	21	2.009325748	0.003730299
187523023_S1	Male	31	1.00399713	1.006456903
187523024_S1	Female	31	2.008411517	0.004313599
187523025_S1	Female	35	2.000815062	0.003586274
187523026_S1	Female	26	1.992067331	0.003482635
187523027_S1	Female	52	2.000684463	0.003422313
187523028_S1	Female	22	1.99736871	0.003946936
187523029_S1	Female	59	1.984509466	0.003824823
187523030_S1	Female	22	2.001431127	0.004293381
187523031_S1	Male	22	1.005287079	1.001947871
187523032_S1	Female	33	1.99060327	0.004134561
187523033_S1	Male	55	1	0.995866345
187523034_S1	Female	28	2.014582413	0.004418913
187523035_S1	Female	45	2.001443894	0.004537954
187523037_S1	Male	41	1.00450635	1.003277345
187523038_S1	Female	63	1.981546811	0.004703754
187523087_S1	Female	53	2.011047619	0.003809524
187523099_S1	Female	51	2.034492838	0.003897496
187523183_S1	Female	59	1.997906556	0.003425635
187523195_S1	Female	19	2.020681265	0.00486618
187523231_S1	Female	20	2.017917349	0.004238513
187523243_S1	Female	44	2.025695453	0.00357502
187523291_S1	Female	48	2.021475338	0.00419031
187523339_S1	Female	56	2.005902192	0.003372681
187523375_S1	Female	54	2.02437953	0.004392708
187523423_S1	Female	41	2.010406387	0.004306091
187523471_S1	Male	33	1.004855755	1.008473769
187523519_S1	Female	32	1.998554652	0.003613369
187523531_S1	Male	48	1.009797265	1.008633233
187523567_S1	Female	52	2.001011941	0.00445254
187523579_S1	Male	21	1.001488412	1.001275781
187523615_S1	Female	42	2.005754844	0.004603875
187523759_S1	Female	40	2.029377931	0.00353951
187523771_S1	Male	42	1.005196032	0.997260274
187523807_S1	Female	52	1.987664399	0.00399093
187523819_S1	Female	34	2.00973481	0.003356831
187523867_S1	Male	18	1.00975711	1.009964708
187523903_S1	Female	20	2.001057641	0.003626199
187523915_S1	Male	29	1.001279795	1.000959846
187523951_S1	Female	56	1.981324278	0.003395586
187523963_S1	Female	64	2.0001844	0.003687996
187524011_S1	Male	32	1.009091696	1.019135856
187524047_S1	Female	66	1.97766632	0.00492098
187524059_S1	Male	18	1.007023797	1.008491456
187524095_S1	Male	63	1.002439262	0.990925944
187524143_S1	Female	23	2.003568243	0.003568243
187524155_S1	Female	64	1.97589051	0.004350585
187524191_S1	Female	27	2.019386676	0.003877335
187524299_S1	Male	35	1.007241258	1.009007418
187524347_S1	Female	51	1.980248084	0.003792368
187524383_S1	Female	34	2.005041847	0.004436826
187524683_S1	Male	53	1.006896552	1.000208986
187524719_S1	Male	61	1.002136935	0.99837593
187524731_S1	Male	57	1.021062865	0.992709008
187524767_S1	Female	25	2.011449341	0.003634711
187524779_S1	Male	18	1.018549479	1.009792214
187524815_S1	Male	58	1.007620334	0.964599209
187524971_S1	Female	27	2.003794309	0.003994009
187525007_S1	Female	52	1.999104023	0.003583908
187525019_S1	Female	56	1.995700606	0.00390854
187525055_S1	Female	45	1.997115818	0.004326273
187525067_S1	Male	63	1.004094259	0.995177873
187525115_S1	Male	59	1.009630972	1.013254506
187525151_S1	Female	29	2.006642312	0.004649618
187525152_S1	Female	33	1.995197636	0.004063539
187525153_S1	Female	41	1.995089109	0.003485149
187525154_S1	Male	18	1.006765405	1.004936917
187525155_S1	Female	60	1.998874327	0.003859452
187525156_S1	Male	18	0.995377235	0.99956389
187525157_S1	Female	29	1.997301187	0.003598417
187525158_S1	Female	63	2.004836759	0.003869407
187525159_S1	Male	54	1.002208631	0.994053687
187525160_S1	Female	20	2.011071872	0.004199675
187525161_S1	Male	66	1.003343961	0.653083444
187525162_S1	Male	54	1.004386677	0.978066613
187525163_S1	Male	21	1.002746993	1.006157052
187525164_S1	Female	74	1.704768379	0.283189278
187525165_S1	Male	26	1.005545588	1.00473006
187525166_S1	Female	20	2.006777847	0.004280746
187525167_S1	Male	50	1.001920492	1.000768197
187525168_S1	Male	20	1.002227568	1.003296801
187525169_S1	Male	18	1.009297072	1.010165957
187525170_S1	Female	34	2.003653445	0.003479471
187525171_S1	Male	26	1.006786926	1.008394356
187525172_S1	Male	45	1.004622186	1.001205788
187525173_S1	Male	26	0.999265111	1.002020944
187525174_S1	Male	49	1.002965456	1.000080147
187525175_S1	Female	57	1.982158787	0.004638715
187525176_S1	Female	33	2	0.004548744
187525177_S1	Female	19	2.016524162	0.003842828
187525178_S1	Male	19	0.998223012	1.0037761
187525179_S1	Male	32	1.004938272	1.004773663
187525180_S1	Female	26	1.995279772	0.003933523
187525181_S1	Male	57	1.009282873	1.000510048
187525182_S1	Female	35	1.988762072	0.003511853
187525183_S1	Male	26	1.002066673	1.005840597
187525184_S1	Female	57	1.967440516	0.003853193
187525185_S1	Female	24	2.004864996	0.003729831
187525186_S1	Female	23	1.995158167	0.003550678
187525187_S1	Male	47	1.135602784	0.875305623
187525188_S1	Female	26	1.968263297	0.052894505
187525189_S1	Male	26	1.003536693	1.007780725
187525190_S1	Male	38	1.002787586	1.002787586
187525191_S1	Female	35	1.998313659	0.005059022
187525192_S1	Male	25	1.001814882	1.008267796
187525193_S1	Male	19	1.007684658	1.011120152
187525194_S1	Female	25	2.004982561	0.004783259
187525195_S1	Male	22	1.004374627	1.007158481
187525196_S1	Male	20	1.01329506	1.013143979
187525197_S1	Male	20	0.999674585	0.99403406
187525198_S1	Male	62	1.001437608	0.969953997
187525199_S1	Female	40	2.028926422	0.004659289
187525200_S1	Female	55	2.001064509	0.004683841
187525201_S1	Female	29	2.016530334	0.003749148
187525202_S1	Male	35	1.002361408	1.003036096
