visit1	Best Match	Group	Score
dynamic.FACE.face_lmdist.v1_visit1.SBALL_SBALR	dynamic.FACE.face_lmdist.v1_visit2.SBALL_SBALR	face_lmdist.v1	100
dynamic.FACE.eyecolor.v1_visit1.a	dynamic.FACE.eyecolor.v1_visit2.a	eyecolor.v1	100
dynamic.FACE.eyecolor.v1_visit1.b	dynamic.FACE.eyecolor.v1_visit2.b	eyecolor.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff96	dynamic.FACE.voice.v1_visit2.complete.coeff96	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff18	dynamic.FACE.voice.v1_visit2.complete.coeff18	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff28	dynamic.FACE.voice.v2_visit2.complete.coeff28	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff17	dynamic.FACE.voice.v1_visit2.complete.coeff17	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff44	dynamic.FACE.voice.v2_visit2.complete.coeff44	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff43	dynamic.FACE.voice.v2_visit2.complete.coeff43	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff40	dynamic.FACE.voice.v2_visit2.complete.coeff40	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.PRN_IRL	dynamic.FACE.face_lmdist.v1_visit2.PRN_IRL	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v2_visit1.TR_G	dynamic.FACE.face_lmdist.v2_visit2.TR_G	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v3_visit1.IRR_IRL	dynamic.FACE.face_lmdist.v3_visit2.IRR_IRL	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v2_visit1.EXR_ENR	dynamic.FACE.face_lmdist.v2_visit2.EXR_ENR	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v1_visit1.TGL_TGRpa	dynamic.FACE.face_lmdist.v1_visit2.TGL_TGRpa	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff31	dynamic.FACE.voice.v1_visit2.complete.coeff31	voice.v1	100
dynamic.FACE.face.v3_visit1.ColorPC	dynamic.FACE.face.v3_visit2.ColorPC	face.v3	100
dynamic.FACE.voice.v1_visit1.complete.coeff30	dynamic.FACE.voice.v1_visit2.complete.coeff30	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff37	dynamic.FACE.voice.v1_visit2.complete.coeff37	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff36	dynamic.FACE.voice.v1_visit2.complete.coeff36	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff10	dynamic.FACE.voice.v1_visit2.complete.coeff10	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.SBALL_SBALR	dynamic.FACE.face_lmdist.v2_visit2.SBALL_SBALR	face_lmdist.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff75	dynamic.FACE.voice.v2_visit2.complete.coeff75	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.TGL_TGR	dynamic.FACE.face_lmdist.v1_visit2.TGL_TGR	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v1_visit1.PSL_PIL	dynamic.FACE.face_lmdist.v1_visit2.PSL_PIL	face_lmdist.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff36	dynamic.FACE.voice.v2_visit2.complete.coeff36	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff32	dynamic.FACE.voice.v2_visit2.complete.coeff32	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.EXR_ENR	dynamic.FACE.face_lmdist.v1_visit2.EXR_ENR	face_lmdist.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff79	dynamic.FACE.voice.v2_visit2.complete.coeff79	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff10	dynamic.FACE.voice.v2_visit2.complete.coeff10	voice.v2	100
dynamic.FACE.face_lmdist.v3_visit1.TR_GNpa	dynamic.FACE.face_lmdist.v3_visit2.TR_GNpa	face_lmdist.v3	100
dynamic.FACE.face.v5_visit1.ColorPC	dynamic.FACE.face.v5_visit2.ColorPC	face.v5	100
dynamic.FACE.voice.v1_visit1.complete.coeff95	dynamic.FACE.voice.v1_visit2.complete.coeff95	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff92	dynamic.FACE.voice.v1_visit2.complete.coeff92	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff99	dynamic.FACE.voice.v1_visit2.complete.coeff99	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff98	dynamic.FACE.voice.v1_visit2.complete.coeff98	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff14	dynamic.FACE.voice.v2_visit2.complete.coeff14	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff15	dynamic.FACE.voice.v2_visit2.complete.coeff15	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff12	dynamic.FACE.voice.v2_visit2.complete.coeff12	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff18	dynamic.FACE.voice.v2_visit2.complete.coeff18	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff19	dynamic.FACE.voice.v2_visit2.complete.coeff19	voice.v2	100
dynamic.FACE.face.v1_visit1.DepthPC	dynamic.FACE.face.v1_visit2.DepthPC	face.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff68	dynamic.FACE.voice.v1_visit2.complete.coeff68	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff66	dynamic.FACE.voice.v1_visit2.complete.coeff66	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff67	dynamic.FACE.voice.v1_visit2.complete.coeff67	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff64	dynamic.FACE.voice.v1_visit2.complete.coeff64	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff65	dynamic.FACE.voice.v1_visit2.complete.coeff65	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff63	dynamic.FACE.voice.v1_visit2.complete.coeff63	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff61	dynamic.FACE.voice.v1_visit2.complete.coeff61	voice.v1	100
dynamic.FACE.face_lmdist.v1_visit1.LI_PG	dynamic.FACE.face_lmdist.v1_visit2.LI_PG	face_lmdist.v1	100
dynamic.FACE.face.v2_visit1.DepthPC	dynamic.FACE.face.v2_visit2.DepthPC	face.v2	100
dynamic.FACE.face_lmdist.v3_visit1.EXR_EXL	dynamic.FACE.face_lmdist.v3_visit2.EXR_EXL	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff58	dynamic.FACE.voice.v2_visit2.complete.coeff58	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff57	dynamic.FACE.voice.v2_visit2.complete.coeff57	voice.v2	100
dynamic.FACE.25dface.v3_visit1.GJET	dynamic.FACE.25dface.v3_visit2.GJET	25dface.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff35	dynamic.FACE.voice.v2_visit2.complete.coeff35	voice.v2	100
dynamic.FACE.face_lmdist.v2_visit1.EXL_ENL	dynamic.FACE.face_lmdist.v2_visit2.EXL_ENL	face_lmdist.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff76	dynamic.FACE.voice.v2_visit2.complete.coeff76	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff77	dynamic.FACE.voice.v2_visit2.complete.coeff77	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff22	dynamic.FACE.voice.v1_visit2.complete.coeff22	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff23	dynamic.FACE.voice.v1_visit2.complete.coeff23	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff27	dynamic.FACE.voice.v1_visit2.complete.coeff27	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff24	dynamic.FACE.voice.v1_visit2.complete.coeff24	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff28	dynamic.FACE.voice.v1_visit2.complete.coeff28	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff44	dynamic.FACE.voice.v1_visit2.complete.coeff44	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff45	dynamic.FACE.voice.v1_visit2.complete.coeff45	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff46	dynamic.FACE.voice.v1_visit2.complete.coeff46	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff47	dynamic.FACE.voice.v1_visit2.complete.coeff47	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff41	dynamic.FACE.voice.v1_visit2.complete.coeff41	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff42	dynamic.FACE.voice.v1_visit2.complete.coeff42	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff48	dynamic.FACE.voice.v1_visit2.complete.coeff48	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff49	dynamic.FACE.voice.v1_visit2.complete.coeff49	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.TGL_TGR	dynamic.FACE.face_lmdist.v2_visit2.TGL_TGR	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v1_visit1.ALL_ALR	dynamic.FACE.face_lmdist.v1_visit2.ALL_ALR	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff33	dynamic.FACE.voice.v1_visit2.complete.coeff33	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff32	dynamic.FACE.voice.v1_visit2.complete.coeff32	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.N_LS	dynamic.FACE.face_lmdist.v2_visit2.N_LS	face_lmdist.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff35	dynamic.FACE.voice.v1_visit2.complete.coeff35	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff34	dynamic.FACE.voice.v1_visit2.complete.coeff34	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff38	dynamic.FACE.voice.v1_visit2.complete.coeff38	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.SBALL_SBALR	dynamic.FACE.face_lmdist.v3_visit2.SBALL_SBALR	face_lmdist.v3	100
dynamic.FACE.voice.v1_visit1.complete.coeff16	dynamic.FACE.voice.v1_visit2.complete.coeff16	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff50	dynamic.FACE.voice.v2_visit2.complete.coeff50	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff51	dynamic.FACE.voice.v2_visit2.complete.coeff51	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff52	dynamic.FACE.voice.v2_visit2.complete.coeff52	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff53	dynamic.FACE.voice.v2_visit2.complete.coeff53	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff55	dynamic.FACE.voice.v2_visit2.complete.coeff55	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff56	dynamic.FACE.voice.v2_visit2.complete.coeff56	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff11	dynamic.FACE.voice.v1_visit2.complete.coeff11	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff25	dynamic.FACE.voice.v1_visit2.complete.coeff25	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.CHR_CHL	dynamic.FACE.face_lmdist.v2_visit2.CHR_CHL	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v2_visit1.LI_PG	dynamic.FACE.face_lmdist.v2_visit2.LI_PG	face_lmdist.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff13	dynamic.FACE.voice.v2_visit2.complete.coeff13	voice.v2	100
